row_id,customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_reply_text,intent,intent_notes,escalation,escalation_reason,ideal_reply_points,difficulty,annotation_method,predicted_intent,predicted_escalation,top_similarity,status,retrieval_bucket,escalation_bucket
68,2869622,796880,Tue Nov 28 01:25:18 +0000 2017,Amazonプライム会員なるか悩む(っ `-´ c)ﾏｯ‼,"@796880 |ω・)
ご検討いただきありがとうございます✨
特典の一覧を置いておきますね...! https://t.co/AbfeovjCgG YM https://t.co/gOSQal1SN8",PRIME_MEMBERSHIP,Prime membership/trial/subscription/benefit issue; clarify membership state and desired action.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Prime membership/trial/subscription/benefit issue; clarify membership state and desired action.,hard,assistant_assisted_draft_review_required,PRIME_MEMBERSHIP,True,0.0,success,low,escalate
78,986352,353765,Sun Oct 22 11:11:31 +0000 2017,"@115850 @115821 @AmazonHelp : outrageous!my uncle ordrd mobile # 405-5688067-2004349.D mobile was returned,but the amount was not refunded","@353765 Also, please don’t provide your order details as its personal information. Our Twitter page is visible to public. 2/2 ^RS",RETURN_REFUND,Return/refund/damaged/wrong-item issue; clarify the desired resolution and relevant order details.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Return/refund/damaged/wrong-item issue; clarify the desired resolution and relevant order details.,hard,assistant_assisted_draft_review_required,RETURN_REFUND,False,0.3449785852187367,success,medium,auto_handle
89,1428648,451853,Thu Nov 02 06:02:54 +0000 2017,@AmazonHelp 再起動は何度もやっています。購入書籍が見えなくなったときは端末側から一度登録を解除して、見えるようになりました。毎日ダウンロードしたはずの書籍が見られなくなるのは、ストレスがたまります……。,@451853 リプライありがとうございます。ご利用環境等の詳細をお伺いのうえご案内させていただきますので、お手数ですが、先ほどお伝えしたURLからカスタマーサービスまでご連絡ください。 YM,TECHNICAL_SUPPORT,Technical/app/device/site issue; identify the failing function and give a safe troubleshooting step.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Technical/app/device/site issue; identify the failing function and give a safe troubleshooting step.,hard,assistant_assisted_draft_review_required,TECHNICAL_SUPPORT,False,1.0,success,high,auto_handle
96,2291281,665485,Sun Nov 12 10:20:49 +0000 2017,@115821 Plz make easy ur return and refund process easy. Im so frustated with ur poor service. Improve guys. And plz remove ur fraud sellers,"@665485 Looks like you are upset with our services and I'm sorry about it. We'd like to know what went wrong. Please let us know, we'll be glad to help. ^MP",RETURN_REFUND,Return/refund/damaged/wrong-item issue; clarify the desired resolution and relevant order details.,Yes,Human review recommended because the case involves sensitive account/payment/security risk or elevated impact.,Return/refund/damaged/wrong-item issue; clarify the desired resolution and relevant order details.,easy,assistant_assisted_draft_review_required,COMPLAINT_FEEDBACK,True,0.2423426822953316,success,medium,escalate
105,1429499,452018,Sun Nov 19 08:31:43 +0000 2017,"@AmazonHelp I have now contacted CS, sent 2 emails and called, explaining the whole scenario then my phone cut off! How can you continue to charge me, when I have cancelled? I have also paid delivery on every single item I have ordered in the last 3 months. You are stealing from me",@452018 My apologies for this. Have you tried contacting back by phone/chat? ^DC,PAYMENT_BILLING,Charging after cancellation is a billing/payment issue.,Yes,Human review recommended because the case involves sensitive account/payment/security risk or elevated impact.,Charging after cancellation is a billing/payment issue.,hard,assistant_assisted_draft_review_required,COMPLAINT_FEEDBACK,True,0.1855176430232235,success,low,escalate
109,2980895,822168,Thu Nov 30 05:06:27 +0000 2017,"@115821 @AmazonHelp I spoke with a help rep who did all she can. Until he checks directly with you, he won't know your driver marked them ""signed"" without a signature. And until his packages show up he'll think they were left with mine on my porch regardless.  So, like, a bodyguard?",@822168 Our team would like to further assist you off of the Twitter platform. Please provide us with your details here: https://t.co/jjxlVzSFjO ^JP,ORDER_DELIVERY,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",No,Routine issue with a sufficiently clear intent and available historical support evidence.,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",hard,assistant_assisted_draft_review_required,COMPLAINT_FEEDBACK,True,0.1856287848132996,success,low,escalate
111,450733,221867,Thu Nov 30 21:53:58 +0000 2017,@AmazonHelp Chronopost (171-9848344-0373941 le numéro de commande),"@221867 Nous ne manquerons pas de remonter cela, je vous prie également de le signaler à notre SAV via : https://t.co/hgIrz98cdI afin d'y remédier.
^KE",OTHER,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,Yes,Human review recommended because the message is too vague or context-poor for safe automated handling.,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,hard,assistant_assisted_draft_review_required,OTHER,False,0.559304158371845,success,high,auto_handle
123,21871,120768,Wed Nov 01 07:56:57 +0000 2017,Yo @115830 stop putting my account on hold! I just got it off hold yesterday and it's already back on hold and orders cancelled wtf!?,"@120768 Sorry about that, have you received an email from an account specialist? ^KM",ACCOUNT_ACCESS,Repeated account holds and cancelled orders indicate account access/control risk.,Yes,Human review recommended because the case involves sensitive account/payment/security risk or elevated impact.,Repeated account holds and cancelled orders indicate account access/control risk.,hard,assistant_assisted_draft_review_required,ACCOUNT_ACCESS,True,0.4770156220726725,success,high,escalate
126,790230,308436,Thu Oct 12 15:36:49 +0000 2017,@AmazonHelp I have already provided the details on the link provided earlier. Btw it's 9 already..no sign of the delivery guy yet.,"@308436 Sorry for the delay in delivery, Seema. We'll review the details and ensure your order is delivered at the earliest. ^JC",ORDER_DELIVERY,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",No,Routine issue with a sufficiently clear intent and available historical support evidence.,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",hard,assistant_assisted_draft_review_required,ORDER_DELIVERY,False,0.4812440015107142,success,high,auto_handle
140,1064862,371411,Mon Oct 23 14:21:58 +0000 2017,@AmazonHelp I want 2nd subscription to get activated as soon as the first subscription expires .,"@371411 We'll be glad to help you in doing so, please connect with us here: https://t.co/Y8cdMEnBp1 and we'll help you. ^OS",PRIME_MEMBERSHIP,Prime membership/trial/subscription/benefit issue; clarify membership state and desired action.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Prime membership/trial/subscription/benefit issue; clarify membership state and desired action.,easy,assistant_assisted_draft_review_required,PRIME_MEMBERSHIP,False,0.3926766155198619,success,medium,auto_handle
142,80557,133884,Thu Nov 30 13:21:38 +0000 2017,@AmazonHelp It is going to be a credit on my Amazon account.  No bank no cc,@133884 Refunds are generally returned to the original payment method. Did you original pay with Gift Card Credit or a Credit Card? ^MI,PAYMENT_BILLING,Payment/charge/billing issue; clarify transaction status and route sensitive cases appropriately.,Yes,Human review recommended because the case involves sensitive account/payment/security risk or elevated impact.,Payment/charge/billing issue; clarify transaction status and route sensitive cases appropriately.,hard,assistant_assisted_draft_review_required,PAYMENT_BILLING,True,0.4252358899065113,success,high,escalate
154,2662757,750435,Sun Nov 19 14:49:26 +0000 2017,"@AmazonHelp @115850 is this a joke now i get a email saying we are unable to search your account, can you please take this issue as a priority and fiz this",@750435 I understand your concern. Kindly reply to the latest correspondence sent by our team for further assistance. Appreciate your understanding. ^GD,ACCOUNT_ACCESS,Account/login/security issue; guide safe account-access recovery without requesting passwords.,Yes,Human review recommended because the case involves sensitive account/payment/security risk or elevated impact.,Account/login/security issue; guide safe account-access recovery without requesting passwords.,hard,assistant_assisted_draft_review_required,TECHNICAL_SUPPORT,False,0.2873811590032497,success,medium,auto_handle
158,1093241,378006,Sun Oct 15 04:27:25 +0000 2017,Amazonからカメラ等届いたけど、一緒に注文したSDカードが入ってないよ😤電話も繋がらないし😤,@378006 ご迷惑をおかけしております。アマゾンが販売発送する商品であれば、注文履歴から交換のお手続きをいただくことにより商品を再度送らせていただきます。商品の返品&gt;付属品や特典が不足しているを選択、コメントに商品が入っていなかった旨を記載してください。ET,RETURN_REFUND,Return/refund/damaged/wrong-item issue; clarify the desired resolution and relevant order details.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Return/refund/damaged/wrong-item issue; clarify the desired resolution and relevant order details.,hard,assistant_assisted_draft_review_required,ORDER_DELIVERY,True,0.0,success,low,escalate
167,1246371,415450,Thu Oct 26 14:46:38 +0000 2017,"@115821 Very very fraud, 
Online shopping &amp; online payment 
Even not received the product 
402-9266837-9705148
Payment done online too","@415450 Please don't provide your order details, we consider it to be personal information. Our page is visible to public.(2/2)^RI",PAYMENT_BILLING,Explicit fraud/payment concern with non-receipt; high-risk billing case.,Yes,Human review recommended because the case involves sensitive account/payment/security risk or elevated impact.,Explicit fraud/payment concern with non-receipt; high-risk billing case.,hard,assistant_assisted_draft_review_required,COMPLAINT_FEEDBACK,True,0.2877164264347147,success,medium,escalate
170,1387059,442759,Mon Nov 20 07:10:47 +0000 2017,"@116316 und täglich ruft das Murmeltier...

Noch im Juli konnte ich den Vorgänger problemlos nach Österreich bestellen...

nun kann ich weder das zuvor gekaufte noch den Nachfolger bestellen.

Werden Österreicher in Zukunft überhaupt noch was bestellen dürfen? https://t.co/bBsYuMduiv","@442759 Bitte habe Verständnis, dass hier die Versandrestriktionen beim Verkäufer liegen, auch wenn wir den Versand für diesen übernehmen. Ganz liebe Grüße und hab einen tollen Start in den Tag. ^TG",PRODUCT_CONTENT,Product/content availability or product-information question; clarify availability/details.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Product/content availability or product-information question; clarify availability/details.,hard,assistant_assisted_draft_review_required,COMPLAINT_FEEDBACK,False,0.3679780665324013,success,medium,auto_handle
177,578404,256159,Sun Dec 03 10:09:56 +0000 2017,@AmazonHelp its very upsetting to say that order delivered is broken and above all its customer responsibility to deliver back. No pickup.,@256159 Apologies for the inconvenience you had faced with the delivered order. Has this been escalated to our support team yet? You may connect with the team from the link here: https://t.co/TxK11znixD and we would do the needful to help. ^KK,RETURN_REFUND,Broken delivered item plus no pickup; return/replacement handling required.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Broken delivered item plus no pickup; return/replacement handling required.,hard,assistant_assisted_draft_review_required,RETURN_REFUND,False,0.2333790380182371,success,medium,auto_handle
187,2956027,815976,Wed Nov 29 10:00:33 +0000 2017,"@120533 @2600 Noel approche... Vos livraisons sont deja catastrophiques, enfin une bonne nouvelle pour les magasins de jouets et les librairies.... @113399 @113400 @113401 @113402 @113403 @113404 https://t.co/O7GLPYrvky","@815976 Bonsoir Alexendra, navrée pour cela. Quel est le transporteur de votre colis je vous prie ? ^MA",ORDER_DELIVERY,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",No,Routine issue with a sufficiently clear intent and available historical support evidence.,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",hard,assistant_assisted_draft_review_required,COMPLAINT_FEEDBACK,False,0.3695018254997301,success,medium,auto_handle
194,2094046,207161,Wed Nov 08 11:32:47 +0000 2017,"@AmazonHelp Perché dovrei contattare la vostra assistenza per un problema causato da voi e dipendente dal vostro scadente sistema di spedizioni? Io mi limiterò ad acquistare altrove d'ora in poi visto che, oggettivamente, mi discriminate.","@207161 Da Twitter non abbiamo modo di fare tutte le verifiche necessarie, per questo è necessario contattare il Servizio Clienti. ^CS",COMPLAINT_FEEDBACK,"Acknowledge dissatisfaction, avoid defensiveness, and ask for the specific issue or case details.",No,Routine issue with a sufficiently clear intent and available historical support evidence.,"Acknowledge dissatisfaction, avoid defensiveness, and ask for the specific issue or case details.",hard,assistant_assisted_draft_review_required,COMPLAINT_FEEDBACK,False,0.3514171330769279,success,medium,auto_handle
196,1278685,182076,Mon Oct 16 08:16:02 +0000 2017,Uhhhh how can I cancel an order I placed??? @115821,"@182076 Hi! You can learn how to do this, here: https://t.co/YHgBUwzYag ^RL",ORDER_DELIVERY,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",No,Routine issue with a sufficiently clear intent and available historical support evidence.,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",easy,assistant_assisted_draft_review_required,ORDER_DELIVERY,False,0.5162584394408803,success,high,auto_handle
199,530001,242735,Sat Dec 02 09:45:19 +0000 2017,@AmazonHelp THERES MORE !!!! @115830 https://t.co/JRdxSl5ghg,"@242735 Hi James, please get in touch via the link provided by ^FJ &amp; we'll be able to look into this for you. ^TS",OTHER,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,Yes,Human review recommended because the message is too vague or context-poor for safe automated handling.,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,hard,assistant_assisted_draft_review_required,OTHER,False,0.6902618200489252,success,high,auto_handle
